"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"PJ Washington",8.7,0.521,4.5,5.4,0.632,72,6.8,2.6,12.9,10.51,6.6
"Pooh Jeter",11.4,0.42,4.8,4.2,0.846,115,5.1,1.8,14.9,1.4,2.8
"Pooh Richardson",9.6,0.513,4.9,2.7,0.624,122,6.1,2.5,12,7.32,4.6
"Popeye Jones",12.9,0.493,6.4,5,0.751,123,6.8,2.8,16.7,-3.03,11.2
"Pops Mensah-Bonsu",7.2,0.584,4.2,5.4,0.608,112,6.9,3.1,11.7,2.05,6
"Precious Achiuwa",11.9,0.493,5.9,6,0.599,31,6.9,2.4,15.8,5.07,10.8
"Predrag Savovic",10.3,0.428,4.4,4.1,0.786,106,6.6,NULL,13.8,3.82,3.7
"Purvis Short",24.3,0.533,13,5,0.721,22,6.7,3,29.5,-7.2,11.4
"Quentin Grimes",10.3,0.411,4.2,2.9,0.701,96,6.5,2.3,12.5,8.15,3.9
"Quentin Richardson",14,0.454,6.3,4.7,0.728,64,6.6,2.3,17.9,7.85,10.2
"Quincy Acy",6,0.602,3.6,3.6,0.708,139,6.7,2.6,9.8,7.2,6
"Quincy Douby",14.1,0.432,6.1,3.6,0.82,95,6.3,1.8,17.8,6.93,2.9
"Quincy Lewis",10.4,0.46,4.8,2.9,0.723,127,6.7,2.7,12.7,8.59,4
"Quincy Miller",8.4,0.447,3.7,3.1,0.816,37,6.9,1.9,10.6,8.03,4.9
"Quincy Pondexter",9.5,0.503,4.8,4.1,0.768,136,6.7,2.5,13.1,7.55,5.6
"Quinn Buckner",10,0.432,4.3,2.3,0.554,120,6.3,3.4,10,7.55,3.8
"Quinn Cook",8.6,0.432,3.7,2.2,0.853,143,6.2,1.8,11,9.07,2.7
"Quinndary Weatherspoon",11.2,0.48,5.4,4,0.788,131,6.4,2.3,15.4,6.95,5.2
"Quintin Dailey",14.3,0.551,7.9,6.4,0.745,90,6.3,2.3,20.5,1.13,4.8
"Quinton Ross",10.8,0.446,4.8,4.9,0.756,119,6.6,NULL,14.8,2.67,5.5
"R.J. Barrett",18.5,0.454,8.4,5.9,0.665,38,6.7,1.8,22.6,11.98,7.6
"R.J. Hunter",13.3,0.423,5.6,5.3,0.853,99,6.6,2.2,18.4,-2.33,4.8
"Raef LaFrentz",11.3,0.555,6.3,4.3,0.712,131,6.1,2.5,15.8,7.94,9.1
"Rafael Addison",11.6,0.534,6.2,3.3,0.763,126,6.7,2.6,14.9,6.05,5.2
"Rafael Araujo",10.4,0.567,5.9,4.5,0.691,62,6.1,3.4,15.1,5.8,9.5
"Rafer Alston",9.4,0.401,3.8,2,0.758,33,6.2,2.9,11,5.48,2.2
"Raja Bell",12,0.435,5.2,3.7,0.73,116,6.5,NULL,14.8,-2.82,4.2
"Rajon Rondo",7.4,0.493,3.7,3.3,0.577,68,6.1,2,9.6,8.49,4.5
"Rakeem Christmas",5.1,0.56,2.9,2.4,0.681,142,6.9,2.6,7.4,7.88,5.3
"Ralph Beard",7,0.649,4.5,3.7,0.646,69,1.0,1.8,12.3,NULL,NULL
"Ralph Drollinger",5.6,0.524,3,2.1,0.709,86,7.2,2.5,7.3,7.76,6.3
"Ralph Jackson",7,0.475,3.3,2.5,0.681,111,6.2,2.1,8.4,5.37,2.6
"Ralph Lewis",11,0.53,5.8,5.5,0.705,116,6.6,2.6,15.6,-1.92,8.3
"Ralph Sampson",12,0.568,6.8,4.9,0.657,132,7.4,2.8,16.9,7.39,11.4
"Ralph Simpson",25.6,0.449,11.5,7.3,0.822,23,6.5,3.2,29,5.39,10.4
"Ramon Rivas",4.8,0.451,2.2,3.5,0.715,94,6.1,3.2,6.9,1.88,6.1
"Ramon Sessions",7.6,0.417,3.2,3,0.74,97,6.3,1.3,8.8,2.12,4.2
"Randell Jackson",9.3,0.474,4.4,3.4,0.654,86,6.1,2.4,11.2,9.74,5.7
"Randolph Childress",12.1,0.446,5.4,6,0.804,120,6.2,2.4,18.4,9.05,3
"Randolph Keys",12,0.476,5.7,2.4,0.698,121,6.7,3.2,13.4,5.42,6
"Randolph Morris",8.1,0.578,4.7,4.9,0.661,89,6.1,2.8,12.6,9.46,6
"Randy Allen",10.5,0.491,5.1,3.6,0.615,115,6.8,3.2,12.5,6.48,6.4
"Randy Breuer",10,0.57,5.7,4.8,0.729,119,7.3,2.4,14.9,7.93,6.1
"Randy Brown",6.8,0.436,3,4.2,0.703,117,6.2,2.8,9.1,3.44,3.3
"Randy Denton",15.4,0.535,8.3,4.8,0.68,84,6.1,3.1,19.7,5.24,11.5
"Randy Foye",13.1,0.399,5.2,3.8,0.781,131,6.4,2.7,15,8.37,4.8
"Randy Holcomb",10.1,0.473,4.8,3.9,0.644,93,6.9,2,12.5,4.13,6.2
"Randy Livingston",9.2,0.392,3.6,3.4,0.72,29,6.4,2.1,10.4,6.3,3.2
"Randy Mahaffey",12.1,0.482,5.8,6.5,0.677,73,6.7,3.8,16,1.75,9.7
"Randy White",9.7,0.592,5.8,5.3,0.689,127,6.8,3.5,15.3,1.68,8.3
"Randy Wittman",9.3,0.524,4.9,2.3,0.779,133,6.6,1.9,11.6,8.51,3
"Randy Woods",16.4,0.413,6.8,4.9,0.794,88,5.1,2.8,20.6,-0.07,4.8
"Rashad McCants",12.9,0.486,6.3,3.8,0.721,98,6.4,2.4,17.6,11,4.1
"Rashad Vaughn",14.3,0.439,6.3,4.3,0.694,23,6.6,2.3,17.8,3.38,4.8
"Rasheed Wallace",8.6,0.635,5.5,3.4,0.621,69,6.1,2.6,13,11.18,7.4
"Rasual Butler",16.7,0.409,6.8,3.7,0.829,110,6.7,1.8,19.3,3.11,5.9
"Rawle Alkins",9,0.45,4,3.3,0.729,60,6.5,2.2,11.8,7.24,4.9
"Rawle Marshall",12.7,0.445,5.6,5.8,0.727,103,6.9,2.3,16.5,-1.05,5.7
"Ray Allen",14.3,0.487,7,3.5,0.779,101,6.5,1.4,19,7.3,6
"Ray Blume",8.9,0.539,4.8,2.5,0.77,111,6.4,2.1,11.6,4.86,2.5
"Ray Lumpp",18.5,0.338,6.3,6.9,0.669,22,1.0,2.8,17.1,NULL,NULL
"Ray McCallum",11.5,0.465,5.4,5.8,0.723,102,6.3,2.1,15.9,0.84,4.8
"Ray Owes",7.6,0.503,3.8,3.1,0.618,120,6.9,2.4,9.8,8.93,6
"Ray Ramsey",5.9,0.372,2.2,2.4,0.494,69,6.3,2.8,5.6,-8.97,4.8
"Ray Tolbert",8.8,0.529,4.7,2.8,0.681,127,6.9,2.9,11.2,8.91,6.9
"Ray Williams",15.6,0.472,7.3,5.5,0.763,52,6.3,3.3,18.9,6.96,6.6
"Rayjon Tucker",6.7,0.505,3.4,4,0.756,98,6.5,2,11,-3.1,4.1
"Raymond Brown",10.5,0.517,5.4,3.4,0.636,119,6.8,NULL,13.1,3.76,6.2
"Raymond Felton",9.7,0.423,4.1,3.5,0.731,101,6.1,2.3,12.5,11,4.1
"Raymond Spalding",6,0.557,3.3,2.5,0.579,100,6.1,2.6,8.1,9.32,6.3
"Raymond Townsend",7.1,0.499,3.5,1.2,0.783,101,6.3,1.3,8,6.3,1.9
"Red Holzman",NULL,NULL,4.7,NULL,NULL,39,5.1,NULL,11.6,NULL,NULL
"Red Kerr",18.3,0.395,7.2,6.6,0.624,70,6.9,2.4,18.6,6.35,NULL
"Reece Gaines",11.2,0.452,5.1,4.9,0.75,125,6.6,2.5,15.6,7.91,3.4
"Reggie Bullock",8.2,0.439,3.6,1.2,0.72,100,6.7,1.2,9.9,8.41,5
"Reggie Carter",11.9,0.473,5.6,4.6,0.816,100,6.3,2,15.1,2.22,4.5
"Reggie Evans",9.7,0.486,4.7,9.4,0.625,69,6.8,3,15.3,9.3,11.5
"Reggie Geary",5.7,0.432,2.5,2,0.589,127,6.2,2.8,7,8.98,2.7
"Reggie Hanson",8.4,0.505,4.2,3.5,0.735,101,6.8,3.1,11.6,8.7,5.4
"Reggie Hearn",5.1,0.457,2.3,2.1,0.752,95,6.4,1.9,7.1,7.17,2.8
"Reggie Jackson",9.9,0.465,4.6,3,0.753,99,6.3,1.7,12.7,7.25,4.4
"Reggie Johnson",12.9,0.58,7.5,4.5,0.731,115,6.9,3.6,18.3,6.73,8
"Reggie Jordan",11.5,0.433,5,3.6,0.615,60,6.4,3.2,12.5,3.33,6.9
"Reggie King",12.8,0.556,7.1,6.2,0.659,118,6.6,2.7,18.4,6.56,10.8
"Reggie Lewis",17.2,0.497,8.5,6.4,0.756,122,6.7,2.7,22.2,-4.2,7.9
"Reggie Miller",11.5,0.547,6.3,4.8,0.836,122,6.7,2.1,17.2,5.4,4.2
"Reggie Perry",9.2,0.501,4.6,4.8,0.748,65,6.1,3,13.4,8.02,8.6
"Reggie Slater",9.1,0.585,5.3,6,0.717,121,6.7,NULL,15,3.9,9.9
"Reggie Smith",10.3,0.496,5.1,5.6,0.574,121,6.1,3.7,13.5,1.71,8
"Reggie Theus",10,0.469,4.7,4.4,0.81,91,6.7,3,12.9,1.36,4.3
"Reggie Williams",12,0.49,5.9,4,0.768,138,6.7,2.7,15.3,6.58,6.4
"Reggie Williams",16.7,0.498,8.3,6.3,0.703,112,6.6,1.9,22.8,-6.91,7.3
"Renaldo Balkman",5.5,0.553,3,2.2,0.533,104,6.8,2.1,7.4,7.11,5.3
"Renaldo Major",7.3,0.477,3.5,3.2,0.795,41,6.7,2.3,10.2,2.77,4.1
"Rex Chapman",14,0.475,6.6,2.8,0.771,61,6.4,1.9,17.6,9.74,2.6
"Rex Walters",9,0.5,4.5,3.1,0.837,120,6.4,2.5,13.4,11.28,2.4
"Rich Kelley",13.9,0.497,6.9,6,0.788,76,7.1,3.4,18.6,6.24,12.4
"Rich King",8.1,0.564,4.5,4.1,0.676,124,7.2,2.9,11.9,7.95,6.1
"Rich Manning",7.3,0.55,4,2.1,0.738,121,6.1,2,9.5,8.31,4.3
"Rich Moore",14,0.468,6.6,3,0.738,28,6.4,1.6,15.4,0.63,7.4
"Rich Yonakor",4.1,0.503,2.1,1.8,0.721,110,6.9,1.8,5.4,7.92,3.7
"Richard Anderson",11.2,0.454,5.1,3.1,0.718,100,6.1,3.1,12.5,0.89,7.7
"Richard Coffey",6.8,0.516,3.5,1.8,0.635,109,6.6,3,8.2,8.85,8.3
"Richard Dumas",12.8,0.501,6.4,4.4,0.685,70,6.7,2.8,15.9,7.57,6.5
"Richard Hamilton",15.7,0.426,6.7,4.9,0.826,103,6.6,2,19.8,8.27,4.5
"Richard Jefferson",8.1,0.49,4,3.5,0.718,84,6.7,2.6,11.2,10.19,5
"Richard Morton",12.5,0.453,5.7,3.1,0.81,113,6.3,2,15,2.79,2.6
"Richard Peek",6.9,0.45,3.1,3.4,0.541,22,7.1,2.1,8,-2.37,7.5
"Richard Petruska",10.6,0.543,5.8,3.7,0.644,61,6.1,3.3,13.9,4.72,6.9
"Richard Rellford",6.8,0.559,3.8,2.7,0.792,124,6.6,2.7,9.8,7.68,3.9
"Richard Washington",11.2,0.536,6,3.2,0.702,87,6.1,2.5,14.2,8.12,6.7
"Richaun Holmes",7.7,0.554,4.2,3.8,0.697,95,6.8,2.5,11.5,-1.07,6.9
"Richie Frahm",9.2,0.449,4.1,2.6,0.799,130,6.5,NULL,12.5,1.72,3.7
"Richie Guerin",19.3,0.422,8.1,11.9,0.711,21,6.4,2.8,24.7,1.15,10.9
"Rick Adelman",15.1,0.417,6.3,7.7,0.809,76,6.1,2.9,18.6,-3.4,4.8
"Rick Barry",20.3,0.522,10.6,10.2,0.847,77,6.7,2.5,29.8,0.44,16.5
"Rick Brunson",10.4,0.371,3.9,4.2,0.658,124,6.4,1.9,12,9.03,3.9
"Rick Calloway",9.9,0.529,5.3,3.2,0.707,119,6.6,2.5,12.9,9.62,4.4
"Rick Carlisle",9.1,0.532,4.9,3.4,0.801,123,6.5,2.2,12.5,2.63,3.3
"Rick Fox",8.7,0.518,4.5,2.7,0.757,140,6.7,2.9,12.2,11.25,4.2
"Rick Mount",26.2,0.483,12.6,8.3,0.843,72,6.4,2.1,32.3,6.13,2.9
"Rick Roberson",11.8,0.505,6,6.9,0.55,76,6.9,3.4,15.7,4.74,12.4
"Rick Robey",8.7,0.581,5.1,4.3,0.723,105,6.1,3.2,13.3,7.74,8
"Rick Wilson",10.2,0.53,5.4,2.3,0.777,113,6.5,2.2,12.6,4.74,4.7
"Rickey Brown",14.8,0.487,7.2,3.9,0.689,107,6.1,NULL,17.2,6.73,10.2
"Rickey Green",16.8,0.487,8.2,4.4,0.776,60,6.1,2.5,19.7,7.21,3.3
"Rickey Williams",10.5,0.477,5,4.2,0.735,103,6.1,NULL,13.1,3,1.8
"Rickie Winslow",9.3,0.547,5.1,3.6,0.63,124,6.8,3.3,12.5,4.6,7.8
"Ricky Berry",13.2,0.471,6.2,5,0.815,105,6.8,3.2,17.4,3.82,4.7
"Ricky Blanton",8.5,0.532,4.5,3.1,0.729,129,6.7,2,11.6,8.59,5.9
"Ricky Davis",12,0.466,5.6,4.2,0.698,31,6.6,1.7,15,6.04,4.8
"Ricky Grace",9.9,0.454,4.5,3,0.7,72,6.1,3.1,13,7.75,3.4
"Ricky Pierce",18,0.504,9.1,5.8,0.751,82,6.4,3.1,22.5,3.55,7.6
"Ricky Sobers",13.4,0.482,6.5,3.6,0.809,54,6.3,3.2,15.8,0.72,3.8
"Ricky Wilson",10.6,0.474,5.1,4.2,0.687,116,6.3,2.5,13,-3.02,3.1
"Rik Smits",11.6,0.609,7.1,5.8,0.693,107,7.4,NULL,18.2,-9.08,7.6
"RJ Nembhard",8.4,0.375,3.2,2.8,0.724,95,6.5,1.3,9.4,9.09,3.1
"Rob Kurz",6,0.468,2.8,3.8,0.81,108,6.9,2.5,9.4,6.22,6
"Rob Lock",4.1,0.538,2.2,2.5,0.622,117,6.9,2.5,5.9,9.67,4.1
"Rob Rose",9.3,0.573,5.3,4,0.794,113,6.5,NULL,13.8,-3.02,7.1
"Rob Williams",16.1,0.508,8.2,5.9,0.781,88,6.2,2.5,20.9,4.05,2.5
"Robbie Hummel",10.4,0.443,4.6,3.7,0.841,127,6.8,2.4,14,7.48,6.8
"Robert Archibald",3.5,0.57,2,3.2,0.681,130,6.1,3,6.2,10.69,4.1
"Robert Churchwell",8.7,0.444,3.9,2.3,0.716,128,6.6,NULL,9.8,10.3,5.2
"Robert Covington",11.1,0.476,5.3,3.4,0.802,118,6.9,3,14.8,-2.86,7.4
"Robert Donham",10.6,0.557,5.9,6.8,0.508,47,6.3,4.5,15.3,1.96,NULL
"Robert Evans",8.8,0.308,2.7,2.2,0.708,44,6.1,2.8,7,NULL,NULL
"Robert Franks",8.9,0.467,4.2,2.8,0.829,111,6.9,2.2,12.2,5.56,4.7
"Robert Hite",11.6,0.442,5.1,2.4,0.848,121,6.2,2,14.2,5.74,4.6
"Robert Horry",9.3,0.458,4.3,3.2,0.742,134,6.9,2.7,11.9,6.32,6.9
"Robert Pack",9.7,0.476,4.6,4.9,0.742,57,6.2,NULL,13.4,5.6,2.8
"Robert Parish",17,0.564,9.6,3.8,0.655,108,7.1,3.3,21.6,-4.58,16.9
"Robert Reid",11.6,0.511,5.9,2.7,0.752,109,6.8,NULL,13.8,NULL,7.6
"Robert Sacre",6,0.504,3,4.5,0.735,136,7.1,2.3,9.3,3.36,5
"Robert Smith",8.2,0.491,4,2.7,0.878,92,5.1,2.3,10.4,1.23,1.9
"Robert Traylor",9.6,0.566,5.5,4.4,0.545,91,6.8,3.2,13.3,9.57,8.2
"Robert Werdann",7.3,0.494,3.6,3.6,0.689,107,6.1,3.7,9.7,8.55,7
"Robert Whaley",6.3,0.348,2.2,2.1,0.66,22,6.1,2.1,5.8,6.28,2.5
"Robert Williams",8.1,0.591,4.8,2.8,0.541,61,6.9,2,11.1,9.29,8.7
"Robert Woodard",6.6,0.485,3.2,2,0.617,65,6.7,1.5,8.3,8.02,5.3
"Robin Lopez",6.9,0.511,3.5,3.1,0.612,67,7.1,2.5,9,8.01,5.6
"Rock Lee",4.3,0.431,1.8,1.5,0.728,100,6.1,2.2,4.7,4.89,3.5
"Rod Foster",9,0.52,4.7,3.1,0.88,113,6.1,2.2,12.1,5.95,1.7
"Rod Higgins",10,0.532,5.3,3.5,0.805,104,6.7,2.4,13.5,0.23,5.8
"Rod Strickland",12.3,0.534,6.6,5,0.626,87,6.3,2.1,16.6,4.45,3.4
"Rod Thorn",19,0.444,8.4,6.9,0.706,82,6.4,1.9,21.8,-1.78,11.1
"Rodney Buford",14.7,0.447,6.6,3.9,0.753,118,6.5,1.9,17.9,2.42,6.1
"Rodney Carney",11.9,0.415,5,3.1,0.717,133,6.7,2.1,14.3,5.22,4.9
"Rodney Hood",10.4,0.455,4.7,2.6,0.773,67,6.8,2,13.3,6.67,4.3
"Rodney McCray",6.3,0.573,3.6,3,0.693,135,6.7,2.4,9.2,6.22,7.6
"Rodney McGruder",9.3,0.452,4.2,2.5,0.759,135,6.4,1.5,11.7,8.19,4.8
"Rodney Monroe",15.6,0.457,7.1,4.4,0.836,124,6.3,1.7,20.6,8.36,4
"Rodney Purvis",10,0.416,4.1,2.6,0.638,137,6.4,1.9,11.6,6.07,3
"Rodney Rogers",13.2,0.579,7.7,4.9,0.694,89,6.7,2.8,19.3,8.26,7.9
"Rodney Stuckey",17.1,0.472,8.1,8.1,0.806,59,6.5,2.4,24.4,-1.48,4.7
"Rodney White",13.8,0.487,6.7,5.7,0.713,28,6.9,2.6,18.7,7.91,6.5
"Rodrick Rhodes",9.2,0.428,3.9,5.1,0.721,124,6.6,2.7,12.6,9.59,3.7
"Roger Brown",7.1,0.448,3.2,2.7,0.551,79,6.1,3.3,7.9,3.22,8.1
"Roger Burkman",2.6,0.419,1.1,2,0.722,120,6.5,2.3,3.6,4.45,1.8
"Roger Mason",10,0.436,4.4,4.1,0.869,89,6.5,2.3,13.8,7.61,3
"Roger Phegley",13.6,0.537,7.3,6.3,0.855,103,6.6,2.7,20,3,5.5
"Roger Powell",6.2,0.572,3.6,2.6,0.662,128,6.6,1.9,9.2,8.06,4.1
"Rolando Blackman",12.1,0.517,6.2,3.9,0.717,121,6.6,1.8,15.2,5.33,5
"Rolando Ferreira",10.3,0.508,5.2,2.7,0.709,61,7.1,2.5,12.5,3.55,6.2
"Rollie Fatty Taylor",7.8,0.464,3.6,3.4,0.593,50,6.1,2.6,9.3,-3.04,4.6
"Romeo Langford",12.3,0.448,5.5,6.1,0.722,32,6.6,1.9,16.5,10.1,5.4
"Ron Anderson",12.7,0.56,7.1,3.4,0.802,68,6.7,2.5,16.9,3.68,5.9
"Ron Baker",9.7,0.433,4.2,3.5,0.801,124,6.4,1.7,13.2,3.94,4.2
"Ron Behagen",14.9,0.473,7.1,4.7,0.706,40,6.9,3.3,17.4,5.58,10
"Ron Boone",17.3,0.444,7.7,6.6,0.713,61,6.2,3.3,20,-4.28,5.4
"Ron Brewer",11.4,0.566,6.5,3.9,0.754,91,6.4,2,15.8,0.74,3.3
"Ron Carter",14.5,0.518,7.5,5.8,0.727,116,6.5,3,19.2,-4.11,7
"Ron Cavenall",4.9,0.486,2.4,1.4,0.557,95,7.1,2.1,5.5,-6.95,5.3
"Ron Crevier",1.2,0.612,0.7,1,0.393,56,7.1,0.9,1.9,2.64,1.2
"Ron Davis",12.1,0.494,6,3.6,0.67,52,6.6,2.2,14.3,6,6.6
"Ron Franz",9.3,0.396,3.7,2.9,0.677,79,6.7,3.4,9.3,3.1,6
"Ron Harper",15.1,0.534,8.1,5.7,0.642,120,6.6,2.9,19.8,0.51,9.3
"Ron Lee",17.9,0.418,7.5,4.9,0.738,112,6.4,3.4,18.6,6.46,5.2
"Ron MacGilvray",6.7,0.332,2.2,3.6,0.537,88,6.1,2.4,6.4,5.06,8
"Ron Mercer",11,0.483,5.3,2.2,0.782,76,6.7,1.9,13.3,9.63,4.1
"Ron Reed",19,0.422,8,4.4,0.658,61,6.6,3.1,18.9,4.48,14.3
"Ron Rowan",6.3,0.502,3.2,1.8,0.814,100,6.5,1.6,7.9,5.11,1.9
"Ron Widby",17.2,0.451,7.7,3.3,0.803,79,6.4,2.5,18.1,1.41,8.4
"Ronald Dupree",10.7,0.483,5.2,4,0.638,129,6.7,2.5,13.4,6.5,7
"Rondae Hollis-Jefferson",6.9,0.496,3.4,4.7,0.697,76,6.7,2.4,10.2,8.23,6.3
"Ronnie Brewer",11.9,0.462,5.5,5.4,0.671,90,6.7,1.7,15.7,5.35,5
"Ronnie Lester",13.3,0.471,6.3,5.6,0.774,99,6.2,2.5,16.9,7.46,2.3
"Ronnie Murphy",14.9,0.453,6.8,3.9,0.74,114,6.5,2.7,17,3.92,4.8
"Ronnie Price",14.7,0.417,6.1,4,0.788,114,6.2,NULL,17.8,NULL,3.5
"Ronnie Valentine",18.5,0.515,9.5,3.8,0.726,101,6.7,NULL,21.8,-4.19,9.4
"Ronny Turiaf",8.2,0.518,4.2,7.1,0.715,127,6.1,2.9,13.6,3.06,6.8
"Rony Seikaly",8.6,0.56,4.8,5.3,0.576,136,6.1,3.3,12.6,7.61,8
"Rory Sparrow",7.5,0.525,3.9,2.1,0.792,124,6.2,NULL,9.5,1.88,2.2
"Rory White",11.2,0.564,6.3,3.3,0.686,116,6.8,NULL,14.9,-2.64,6.4
"Roshown McLeod",8.3,0.479,4,3,0.711,126,6.8,2.8,10.7,8.4,4.8
"Roy Devyn Marble",10,0.415,4.1,4.4,0.726,136,6.6,1.6,12.5,7.42,3.4
"Roy Hamilton",9.7,0.519,5,3.6,0.685,108,6.2,1.7,12.5,5.72,2.3
"Roy Hibbert",7,0.603,4.2,3.5,0.68,136,7.2,2.5,10.9,7.54,5.9
"Roy Hinson",10.3,0.502,5.2,4,0.606,119,6.9,2.9,12.8,0.39,7.2
"Roy Marble",10.9,0.539,5.9,5.3,0.73,134,6.6,2.3,15.8,9.18,5
"Roy Rogers",5.2,0.517,2.7,1.6,0.61,102,6.1,2,6.4,6.65,5
"Roy Tarpley",9.9,0.522,5.2,3.6,0.774,122,6.1,2.6,13.1,7.68,7.8
"Royal Ivey",6.1,0.455,2.8,2.6,0.709,133,6.3,2.7,7.8,9.14,3.1
"Royce O'Neale",6.4,0.477,3.1,3,0.751,134,6.6,2.4,9.5,4.56,5.6
"Royce White",9.6,0.534,5.1,6,0.498,34,6.8,2.6,13.4,7.32,9.3
"Ruben Boumtje-Boumtje",7,0.485,3.4,4.2,0.664,101,7.1,2.8,9.6,4.94,7
"Ruben Garces",7.2,0.519,3.7,2.2,0.41,65,6.9,NULL,8.4,8.88,7.6
"Ruben Nembhard",13.6,0.441,6,5.6,0.655,58,6.3,2.3,16.4,2.81,4.8
"Ruben Patterson",10.6,0.515,5.5,5.4,0.603,50,6.5,2.2,14.8,5.21,5.9
"Rudy Gay",10.8,0.461,5,3.8,0.721,64,6.9,2.3,13.6,7.1,5.9
"Rudy LaRusso",12.7,0.427,5.4,5.3,0.717,80,6.6,2.9,14.6,-4.5,15.5
"Rudy Macklin",11.6,0.595,6.9,4.5,0.674,123,6.7,3.2,16.9,5.82,10.4
"Rudy Tomjanovich",22.1,0.481,10.6,5.7,0.68,72,6.8,3,25.1,6.17,14.4
"Rudy White",8.6,0.526,4.5,2.3,0.708,57,6.2,2.6,10.7,5.35,3.4
"Rui Hachimura",7.8,0.579,4.5,3.7,0.746,102,6.8,1.6,12.1,3.91,4.4
"Rumeal Robinson",9.8,0.528,5.2,5,0.666,100,6.2,2.9,14.5,10.46,3.2
"Russ Schoene",8.5,0.542,4.6,1.9,0.696,59,6.1,2.4,10.6,-3.08,5.6
"Russ Smith",11.3,0.413,4.7,4.8,0.76,133,6.1,2.4,14.3,7.79,2.7
"Russell Cross",10.4,0.578,6,7.1,0.628,93,6.1,2.5,16.4,7.11,6.7
"Russell Lee",21.6,0.45,9.7,6.2,0.712,76,6.5,3,23.9,-1.22,11.4
"Russell Westbrook",6.6,0.464,3.1,2.4,0.685,75,6.3,1.7,8.3,8.77,2.4
"Rusty LaRue",4.7,0.45,2.1,0.7,0.865,107,6.2,1.2,6.2,9.68,1.9
"Ryan Anderson",13.1,0.484,6.3,5,0.841,66,6.9,2.5,18.7,8.56,9
"Ryan Arcidiacono",8.5,0.397,3.4,3.2,0.8,144,6.3,2,11.1,8.32,2.3
"Ryan Bowen",5.8,0.575,3.3,3.4,0.685,120,6.7,2.1,9.1,7.18,6.7
"Ryan Broekhoff",8.2,0.464,3.8,2.9,0.818,134,6.7,1.8,11.9,0.23,6.3
"Ryan Gomes",13,0.519,6.8,5.3,0.789,116,6.7,2.1,18.4,7.36,8.9
"Ryan Hollins",3.5,0.575,2,2.9,0.591,113,7.1,2.4,5.7,7.98,4
"Ryan Humphrey",10.6,0.495,5.3,5,0.536,123,6.8,2.9,13.3,5.21,8.4
"Ryan Kelly",5.4,0.46,2.5,2.2,0.805,126,6.1,1.9,7.5,8.87,3.7
"Ryan Lorthridge",9,0.473,4.3,3.2,0.713,87,6.4,1.2,11.4,-6.25,2.7
"Ryan Reid",3.8,0.495,1.9,2,0.604,126,6.8,1.9,5,7.66,3.9
"Ryan Robertson",5.2,0.445,2.3,2.2,0.802,142,6.5,1.8,7.4,7.71,2.4
"Ryan Stack",4.8,0.473,2.3,2.2,0.69,120,6.1,2,6.5,7.62,4.2
"Saben Lee",9.7,0.471,4.6,5.4,0.718,96,6.2,2.1,13.9,8.11,3.3
"Saddiq Bey",9,0.469,4.2,2,0.728,67,6.8,2.3,11.9,9,4.9
"Salim Stoudamire",10.1,0.471,4.8,3.5,0.87,129,6.1,2.2,15.2,9.02,2.2
"Sam Bowie",9.6,0.522,5,4.5,0.735,96,7.1,2.9,13.4,8.95,8.8
"Sam Cassell",13.9,0.478,6.7,4.6,0.734,66,6.3,3.3,18.3,10.08,4.4
"Sam Dekker",9,0.493,4.4,2.8,0.695,113,6.9,1.2,12.1,10.07,5
"Sam Hauser",9.7,0.483,4.7,1.7,0.88,126,6.8,2.1,13.3,8.21,6.1
"Sam Jacobson",11.2,0.437,4.9,2.8,0.718,130,6.4,2.7,13.1,7.67,4.8
"Sam Lacey",14.7,0.454,6.7,4.4,0.66,89,6.1,2.6,16.3,2.19,14.2
"Sam Mack",10.7,0.474,5.1,5,0.751,60,6.7,2.8,14.7,6.3,6
"Sam Merrill",11.6,0.47,5.5,3.8,0.891,131,6.5,2.4,16.8,2.51,3.6
"Sam Mitchell",13.4,0.512,6.9,5.3,0.763,112,6.6,2.8,17.7,-5.6,6.3
"Sam Perkins",10.1,0.576,5.8,5.2,0.796,135,6.9,2.6,15.9,8.8,8.6
"Sam Smith",13,0.521,6.8,3,0.739,60,6.4,2.2,15.7,1.38,3.1
"Sam Vincent",12.7,0.491,6.2,5.4,0.803,110,6.2,2.7,16.8,6.33,3
"Sam Williams",7.6,0.555,4.2,3.2,0.584,85,6.8,2.9,10.3,5.7,6.1
"Sam Worthen",11.7,0.492,5.7,3.8,0.796,56,6.5,2.7,14.4,3.5,4.2
"Sam Young",10.1,0.498,5,3.4,0.692,143,6.6,1.7,13.2,8,5
"Samaki Walker",9.7,0.57,5.5,5.6,0.568,50,6.9,2.3,14.3,8.83,7.3
"Samardo Samuels",8.8,0.549,4.8,5.5,0.689,70,6.9,2.8,13.5,8.2,5.9
"Samuel Dalembert",5.5,0.537,3,2.2,0.539,59,6.1,3.2,7.1,5.57,5.8
"Sandro Mamukelashvili",7.6,0.459,3.5,2.6,0.663,115,6.1,2,9.6,9.48,5.7
"Santi Aldama",14.7,0.495,7.3,4.4,0.639,27,6.1,2,19,-5.35,9.2
"Sarunas Jasikevicius",6,0.437,2.6,1.8,0.733,120,6.4,1.7,7.7,10.42,1.8
