"name","fgapg","fgpct","fgpg","ftapg","ftpct","games","height","pfpg","ptspg","sospg","trbpg"
"Charles Pittman",4.7,0.632,3,3,0.689,55,6.8,2.3,8.1,6.56,5.3
"Charles Shackleford",11.6,0.511,5.9,3.3,0.568,94,6.1,2.7,13.7,8.34,7.8
"Charles Smith",11.6,0.5,5.8,6.8,0.753,122,6.1,3,16.8,6.89,8.1
"Charles Smith",13,0.449,5.8,3.4,0.731,126,6.4,1.8,15.8,3.32,4.6
"Charles Smith",8.8,0.457,4,3,0.754,126,6.1,1.8,11.1,8.4,2.4
"Charles Thomas",5.1,0.447,2.3,1.1,0.742,109,6.3,NULL,6.5,0.6,3.2
"Charley Parsley",12.2,0.494,6,3.9,0.652,29,6.2,3.3,14.6,NULL,NULL
"Charlie Bell",8.5,0.439,3.7,2.8,0.782,140,6.3,2,10.5,9.9,4.5
"Charlie Brown",13,0.407,5.3,3.9,0.836,63,6.7,2.4,16,2.67,5.6
"Charlie Criss",11.7,0.43,5,4.4,0.763,61,5.8,2.7,13.4,2.19,2.4
"Charlie Johnson",15,0.4,6,2.8,0.691,74,6.1,3.3,13.9,4.43,7
"Charlie Scott",18.4,0.48,8.8,6,0.726,91,6.5,2.4,22.1,4.71,7.1
"Charlie Share",13,0.441,5.7,6.6,0.653,94,6.1,3.2,15.8,NULL,NULL
"Charlie Sitton",8.7,0.575,5,4.4,0.769,117,6.8,3.6,13.3,4.85,4.3
"Charlie Villanueva",8.3,0.518,4.3,3.2,0.681,63,6.1,2.2,11.2,7.7,6.7
"Charlie Ward",6.5,0.441,2.9,2.4,0.636,91,6.2,2.1,8.1,8.21,3.1
"Chase Budinger",12.8,0.469,6,4,0.782,100,6.7,1.8,17,9.93,5.8
"Chasson Randle",12.3,0.428,5.3,4.8,0.806,144,6.2,2.7,16.5,6.92,3.3
"Chauncey Billups",13.1,0.413,5.4,6.5,0.857,55,6.3,2.3,18.5,6.42,5.6
"Chaundee Brown",8.2,0.435,3.6,1.9,0.812,112,6.5,1.7,9.8,9.16,4.3
"Cheese Johnson",12.9,0.523,6.7,6.3,0.618,110,6.6,3.1,17.3,2.25,9.3
"Cheick Diallo",2.1,0.569,1.2,1,0.556,27,6.9,1.4,3,11.22,2.5
"Cherokee Parks",8.7,0.551,4.8,3.5,0.755,131,6.1,2.1,12.5,10.44,6.7
"Chet Walker",16.8,0.552,9.3,8.9,0.66,81,6.6,2.2,24.4,4.64,12.8
"Chimezie Metu",8.9,0.533,4.8,3.9,0.692,104,6.1,2.5,12.3,6.78,6.3
"Chinanu Onuaku",4.5,0.619,2.8,1.3,0.547,66,6.1,2.7,6.2,8.36,6.4
"Chris Babb",6.2,0.377,2.3,1.2,0.733,130,6.5,1.1,7.2,6.37,3
"Chris Bosh",9.7,0.56,5.4,5.6,0.73,31,6.1,2.4,15.6,7.94,9
"Chris Boucher",8.2,0.532,4.3,3.4,0.641,69,6.1,2.7,12,8.51,6.8
"Chris Carr",9.8,0.503,4.9,3.8,0.761,93,6.5,2.5,13.5,1.95,5.8
"Chris Childs",10.3,0.443,4.6,3.7,0.818,118,6.3,3.1,13.6,-0.95,2.9
"Chris Chiozza",6.3,0.391,2.5,2,0.747,139,6.1,2.1,7.4,9.99,3.2
"Chris Clemons",17.7,0.444,7.9,6.6,0.852,130,5.9,2,24.8,-6.33,4.5
"Chris Copeland",5.9,0.431,2.5,2,0.701,113,6.8,2,7.5,7.06,3.8
"Chris Corchiani",7.9,0.463,3.7,3.8,0.822,124,6.1,2.8,11.5,8.36,2.1
"Chris Crawford",7.3,0.444,3.2,2.9,0.721,113,6.9,2.7,9.3,5.48,3.5
"Chris Douglas-Roberts",9.4,0.54,5.1,4.6,0.725,109,6.7,1.9,14.2,4.64,3.7
"Chris Duarte",11.2,0.473,5.3,2.9,0.803,54,6.6,1.5,14.9,9.37,5.1
"Chris Dudley",9.8,0.513,5,5.1,0.512,102,6.1,3.3,12.6,-6.59,9.5
"Chris Duhon",7.2,0.418,3,2.4,0.693,144,6.1,1.9,8.8,10.09,3.4
"Chris Engler",6,0.541,3.2,1.7,0.727,76,6.1,2.8,7.7,6.42,4.8
"Chris Ford",13.1,0.482,6.3,4.9,0.641,91,6.5,2.6,15.8,3.53,6
"Chris Garner",6.3,0.428,2.7,1.7,0.559,123,5.1,2.3,6.9,6.19,3.1
"Chris Gatling",13.5,0.606,8.2,7.1,0.689,85,6.1,3.3,21.3,1.04,10.1
"Chris Herren",11.3,0.458,5.2,4.4,0.636,87,6.2,2.3,15.1,4.47,2.1
"Chris Hunter",5.1,0.464,2.4,2.5,0.749,105,6.1,2.2,7,7.05,3.5
"Chris Jefferies",10.1,0.436,4.4,4.5,0.628,88,6.8,2.3,12.9,5.45,4.8
"Chris Jent",6.9,0.434,3,1.7,0.743,123,6.7,2.5,8.2,9.86,3.9
"Chris Johnson",7.9,0.427,3.4,2.6,0.826,138,6.6,1.8,10.6,3.72,6.1
"Chris Johnson",5.8,0.488,2.9,1.6,0.775,88,6.1,1.8,7.2,6.28,5.2
"Chris Kaman",8.8,0.608,5.4,6,0.713,83,7.1,2.8,15.1,1.05,8.5
"Chris King",12,0.519,6.2,4,0.64,113,6.8,2.1,15.2,8.05,5.2
"Chris McCray",7.7,0.463,3.5,3.1,0.854,103,6.5,2.2,10.8,8.46,3.4
"Chris McCullough",7.1,0.478,3.4,4.4,0.563,16,6.1,2.6,9.3,7.68,6.9
"Chris McNealy",11.3,0.551,6.2,4.4,0.638,81,6.7,NULL,15.2,1.73,8.4
"Chris Mihm",10.4,0.497,5.2,6.1,0.684,96,7.1,3,14.6,7.62,9.8
"Chris Mills",12.4,0.508,6.3,3.6,0.767,126,6.6,2.6,16.5,8.4,7.6
"Chris Morris",10.8,0.501,5.4,3.1,0.712,128,6.8,2.7,13.4,8.94,6.7
"Chris Mullin",12.8,0.55,7,6.4,0.848,125,6.6,2.2,19.5,5.16,4.1
"Chris Munk",5,0.464,2.3,2.4,0.699,110,6.9,NULL,6.3,6.51,6
"Chris Owens",8.5,0.453,3.8,5,0.598,106,6.7,2.7,10.8,7.71,6.4
"Chris Paul",9.3,0.472,4.4,5.8,0.838,63,6.1,2.6,15,10.65,3.9
"Chris Porter",12.2,0.467,5.7,5.7,0.651,56,6.7,2.6,15.3,6.57,8
"Chris Quinn",8.9,0.446,4,2.3,0.825,123,6.2,1.7,11.8,7.42,2.7
"Chris Richard",3,0.665,2,1.4,0.631,141,6.9,2.2,4.9,7.28,3.2
"Chris Robinson",11.4,0.468,5.4,3.1,0.689,120,6.5,2.8,13.8,0.51,5.5
"Chris Silva",6.8,0.497,3.4,5.9,0.729,134,6.9,3.5,11.3,8.71,6.5
