"player","class","pos","school","conf","drafted"
"Glenn Robinson",1,"F","Michigan","Big Ten",0
"Josh Scott",4,"F","Colorado","Pac-12",0
"Jordan Sibert",4,"G","Dayton","A-10",0
"Mike Smith",4,"F","East Tennessee State","A-Sun",0
"Jon Teske",3,"C","Michigan","Big Ten",0
"Malcolm Thomas",4,"F","San Diego State","MWC",0
"Moritz Wagner",3,"F","Michigan","Big Ten",1
"Brad Waldow",4,"F","Saint Mary's (CA)","WCC",0
"David Walker",4,"G","Northeastern","CAA",0
"PJ Washington",2,"F","Kentucky","SEC",1
"Jordan Williams",2,"F","Maryland","ACC",0
"Trae Young",1,"G","Oklahoma","Big 12",1
"Quincy Acy",4,"F","Baylor","Big 12",0
"Jaylen Adams",3,"G","St. Bonaventure","A-10",0
"Bam Adebayo",1,"F","Kentucky","SEC",0
"Kyle Anderson",2,"G","UCLA","Pac-12",0
"George Beamon",3,"G","Manhattan","MAAC",0
"Damen Bell-Holter",4,"F","Oral Roberts","Southland",0
"Justin Bibbins",4,"G","Utah","Pac-12",0
"Jaron Blossomgame",3,"F","Clemson","ACC",1
"Chris Boucher",3,"F","Oregon","Pac-12",0
"Kenny Boynton",3,"G","Florida","SEC",0
"Devontae Cacok",2,"F","North Carolina-Wilmington","CAA",0
"Bill Clark",4,"G","Duquesne","A-10",0
"Ian Clark",4,"G","Belmont","OVC",0
"John Collins",2,"F","Wake Forest","ACC",0
"D.J. Covington",4,"F","Virginia Military Institute","Big South",0
"Will Cummings",4,"G","Temple","AAC",0
"Gorgui Dieng",3,"C","Louisville","Big East",0
"Rico Gathers",3,"F","Baylor","Big 12",0
"Devin Gibson",4,"G","Texas-San Antonio","Southland",0
"Sam Hauser",3,"F","Marquette","Big East",0
"Nimrod Hilliard",4,"G","North Carolina Central","MEAC",0
"Jordan Howard",4,"G","Central Arkansas","Southland",0
"Robbie Hummel",4,"F","Purdue","Big Ten",0
"Reggie Jackson",3,"G","Boston College","ACC",0
"Tyler Johnson",4,"G","Fresno State","MWC",0
"Shawn Jones",4,"F","Middle Tennessee","CUSA",0
"Damion Lee",3,"G","Drexel","CAA",0
"Kareem Maddox",4,"F","Princeton","Ivy",0
"J.J. Mann",4,"G","Belmont","OVC",0
"Cody Martin",3,"F","Nevada","MWC",1
"Dakota Mathias",4,"G","Purdue","Big Ten",0
"Javon McCrea",4,"F","Buffalo","MAC",0
"Keon Moore",4,"G","Winthrop","Big South",0
"Nic Moore",2,"G","Southern Methodist","AAC",0
"Juwan Morgan",4,"F","Indiana","Big Ten",0
"Georges Niang",4,"F","Iowa State","Big 12",0
"Romero Osby",4,"F","Oklahoma","Big 12",0
"Tariq Owens",4,"F","Texas Tech","Big 12",0
"Elfrid Payton",3,"G","Louisiana","Sun Belt",0
"Jalen Pickett",1,"G","Siena","MAAC",0
"Isaiah Pineiro",4,"F","San Diego","WCC",0
"Augustine Rubit",3,"F","South Alabama","Sun Belt",0
"Marcus Smart",2,"G","Oklahoma State","Big 12",0
"Zhaire Smith",1,"G","Texas Tech","Big 12",1
"D'Vauntes Smith-Rivera",3,"G","Georgetown","Big East",0
"Eric Stutz",4,"F","Eastern Kentucky","OVC",0
"MaCio Teague",1,"G","North Carolina-Asheville","Big South",0
"Xavier Tillman",2,"F","Michigan State","Big Ten",0
"Marc Trasolini",4,"F","Santa Clara","WCC",0
"Alan Williams",3,"C","UC-Santa Barbara","Big West",0
"Kenrich Williams",3,"G","Texas Christian","Big 12",0
"Joe Young",3,"G","Oregon","Pac-12",0
"Nickeil Alexander-Walker",2,"G","Virginia Tech","ACC",1
"Anthony Barber",3,"G","North Carolina State","ACC",0
"Talor Battle",4,"G","Penn State","Big Ten",0
"Khem Birch",3,"F","Nevada-Las Vegas","MWC",0
"Jacobi Boykins",3,"G","Louisiana Tech","CUSA",0
"Ignas Brazdeikis",1,"F","Michigan","Big Ten",1
"Miles Bridges",2,"G","Michigan State","Big Ten",0
"Dillon Brooks",2,"F","Oregon","Pac-12",0
"J'Covan Brown",3,"G","Texas","Big 12",0
"Antonio Campbell",3,"F","Ohio","MAC",0
"Jordan Caroline",3,"G","Nevada","MWC",0
"Ahmad Caver",4,"G","Old Dominion","CUSA",0
"Ceola Clark",4,"G","Western Illinois","Summit",0
"Jarron Cumberland",3,"G","Cincinnati","AAC",0
"Brandon Davies",4,"F","Brigham Young","WCC",0
"Donte DiVincenzo",2,"G","Villanova","Big East",0
"Tyler Ennis",1,"G","Syracuse","ACC",0
"Chris Evans",4,"F","Kent State","MAC",0
"Chris Flemmings",3,"G","North Carolina-Wilmington","CAA",0
"Ashton Gibbs",3,"G","Pittsburgh","Big East",0
"JaMychal Green",3,"F","Alabama","SEC",0
"Josh Harrellson",4,"F","Kentucky","SEC",0
"Marvelle Harris",4,"G","Fresno State","MWC",0
"Darrun Hilliard",4,"G","Villanova","Big East",0
"Murphy Holloway",4,"F","Mississippi","SEC",0
"Demetrius Jackson",2,"G","Notre Dame","ACC",0
"Keon Johnson",4,"G","Winthrop","Big South",0
"Kerron Johnson",3,"G","Belmont","A-Sun",0
"Rob Jones",4,"F","Saint Mary's (CA)","WCC",0
"Nathan Knight",3,"F","William & Mary","CAA",0
"Kyle Kuric",4,"G","Louisville","Big East",0
"Cameron Long",4,"G","George Mason","CAA",0
"Jermaine Marrow",3,"G","Hampton","Big South",0
"Anthony Miles",4,"G","Lamar","Southland",0
"D.J. Newbill",4,"G","Penn State","Big Ten",0
"Chuma Okeke",2,"F","Auburn","SEC",1
"Marcus Paige",2,"G","North Carolina","ACC",0
"Jabari Parker",1,"F","Duke","ACC",0
"Ricardo Ratliffe",4,"F","Missouri","Big 12",0
"Ryan Rossiter",4,"F","Siena","MAAC",0
"Landry Shamet",1,"G","Wichita State","MVC",0
"John Shurna",4,"F","Northwestern","Big Ten",0
"James Southerland",4,"F","Syracuse","Big East",0
"Terry Tarpey",3,"G","William & Mary","CAA",0
"Ahmad Thomas",3,"G","North Carolina-Asheville","Big South",0
"Isaiah Thomas",3,"G","Washington","Pac-10",0
"Darius Thompson",4,"G","Western Kentucky","CUSA",0
"Tristan Thompson",1,"F","Texas","Big 12",0
