?Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,Drafted
67,Isaiah Canaan,3,11-Dec,G,Murray State,OVC,33,1112,26.5,0.642,0.59,3.1,10,6.6,24.4,2.5,0.2,15.4,27,597,125.7,95.5,5.2,2,7.2,8,-0.3,7.8,1
68,Ty Jerome,3,2018-19,G,Virginia,ACC,37,1256,22.9,0.555,0.532,1.8,13.1,7.8,32.6,3,0.1,11.9,23.4,547,120.4,92.2,4.3,2.9,7.2,8.1,3.9,12,1
69,JaJuan Johnson,4,10-Nov,F,Purdue,Big Ten,34,1203,28.8,0.564,0.509,7.9,20.2,14.1,6.4,1.5,6.7,8.3,29.1,617,117.2,90.3,4.3,2.9,7.2,3.7,4.9,8.6,0
70,Kevin Jones,4,11-Dec,F,West Virginia,Big East,33,1265,28.6,0.573,0.542,12.5,24.1,17.7,7.8,1.1,2.9,6.8,24.5,595,127.7,99.7,5.5,1.8,7.2,7.2,1.5,8.6,0
71,Sean Kilpatrick,4,2013-14,G,Cincinnati,AAC,34,1149,26.2,0.577,0.515,3.6,11.5,7.5,18.5,2.6,0.1,10.3,30.6,631,123.2,95.7,4.7,2.4,7.2,9,0.5,9.5,0
72,Marcus Morris,3,10-Nov,F,Kansas,Big 12,38,1076,29.3,0.625,0.601,11.5,19,15.5,11.4,1.7,2.4,11.4,26.9,600,126.5,92.5,4.9,2.3,7.2,7.8,3.4,11.2,0
73,Thomas Robinson,3,11-Dec,F,Kansas,Big 12,39,1242,27.4,0.549,0.512,11.1,33,22.2,13.1,2,2.9,14.2,30,660,109.8,84.6,3.7,3.5,7.2,3,4.7,7.7,0
74,Sindarius Thornwell,4,2016-17,G,South Carolina,SEC,31,1051,30.3,0.59,0.51,8,16.3,11.9,19.1,3.6,3.4,11.9,29.5,634,122.2,89,4.4,2.8,7.2,9.5,6.7,16.2,1
75,Fred VanVleet,2,2013-14,G,Wichita State,MVC,36,1141,24,0.613,0.552,2.8,11,7.1,33.6,3.7,0.4,12.3,17.9,469,134.9,92.3,4.4,2.8,7.2,7,3.7,10.7,0
77,Aaron White,4,2014-15,F,Iowa,Big Ten,34,1070,29.3,0.633,0.553,7.7,18.5,13.2,10.2,2.6,1.7,8.5,23.5,509,133.9,94.2,5,2.2,7.2,8.5,3.3,11.8,1
78,Dylan Windler,4,2018-19,G,Belmont,OVC,33,1097,30.4,0.681,0.651,6.8,27.3,17.7,13.6,2.3,1.7,11.8,25.7,636,129.1,94.7,4.9,2.3,7.2,8,1.4,9.5,1
79,Noah Dahlman,4,10-Nov,F,Wofford,Southern,34,1065,33.1,0.65,0.612,11.2,11.7,11.5,9.7,1.5,1.3,7.2,28.1,611,135.5,106.5,6.3,0.9,7.1,8.2,-1.8,6.4,0
80,Draymond Green,4,11-Dec,F,Michigan State,Big Ten,37,1229,26.1,0.542,0.504,8.2,30.7,19.8,24.2,2.7,3.3,16.8,28.2,610,109.6,83.6,3.5,3.6,7.1,5.5,7.2,12.7,1
81,Reggie Hamilton,4,11-Dec,G,Oakland,Summit,36,1284,31.1,0.61,0.54,2.3,11.9,6.7,33.4,3.2,0.2,14.8,34.8,919,121.2,112.1,6.9,0.3,7.1,9.8,-2.9,6.9,0
82,Justin Harper,4,10-Nov,F,Richmond,A-10,37,1178,29,0.642,0.618,6.5,18.6,12.8,8.9,1.2,4,9.8,26.8,561,123.6,94.9,4.8,2.3,7.1,7.4,1.5,8.9,0
83,Nigel Hayes,2,2014-15,F,Wisconsin,Big Ten,40,1319,23.1,0.601,0.557,8.7,15.8,12.3,11.9,1.7,1.3,11,20.4,510,127.7,98.3,4.9,2.2,7.1,7.6,3.6,11.2,0
84,Ken Horton,3,10-Nov,F,Central Connecticut State,NEC,31,1096,29.7,0.606,0.56,9.8,18.6,14.3,13.2,2.4,4.8,9.3,25.2,549,127.5,92.9,4.7,2.3,7.1,6.6,2.1,8.7,0
85,Matt Howard,4,10-Nov,F,Butler,Horizon,37,1148,28.2,0.6,0.538,10.1,20,15,10.7,2.2,2.4,10.9,26.1,582,125.2,95.8,5,2.1,7.1,7.2,2.9,10.1,0
86,Luke Kennard,2,2016-17,G,Duke,ACC,37,1314,24.4,0.629,0.579,3.9,12.1,8.2,13.6,1.4,0.9,9.3,24,672,130.5,104.4,5.5,1.6,7.1,8.4,1.2,9.5,1
